ID,Full_Date_Collected,Month_Collected,Collectors,Weather,County,Locality,GPS_Cords,Time_Collected,Temp_When_Captured_F,Sex,Genus,Species,Date_Ran,Vial#_orControl,Mass_Before_CTmin_g,TC_CTmin_orControl,Start_Time_CTmin,End_Time_CTmin,CTmin_C,Mass_After_CTmin_g,TC_CTmax_orControl,Start_Time_CTmax,End_Time_CTmax,CTmax_C,Mass_After_CTmax_g,Vial_Mass_g,Field_Notes,Bee_Notes,Data_Notes
AMV0100,2023-Mar-26,March,"Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",12:22,50,Male,Colletes,Col. inaequalis,2023-Mar-26,Control1,6.7976,Control1,NA,NA,NA,6.7967,Control1,NA,NA,NA,6.7949,6.7485,"Blue pollen on bee when caught curious as to what its from, note that all these bees collected at this location were flying ankle-high off the ground near a nest aggregation",Bee was pinned through thorax for indepth identification purposes,
AMV0101,2023-Mar-26,March,"Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",12:26,50,Male,Colletes,Col. inaequalis,2023-Mar-26,9,6.7001,9,14:04,14:56,-1.18,6.6987,10,15:30,16:34,51.18,6.6909,6.6187,,"Caught too late in CTmax machine, died, Bee was pinned through thorax for indepth identification purposes",
AMV0102,2023-Mar-26,March,"Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",12:28,50,Male,Colletes,Col. inaequalis,2023-Mar-26,17,6.6708,14,14:04,14:56,-2.48,6.6701,17,15:30,16:30,50.19,6.6651,6.6131,,"Caught too late in CTmax machine, died, Bee was pinned through thorax for indepth identification purposes",
AMV0103,2023-Mar-26,March,"Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",12:30,50,Male,Colletes,Col. inaequalis,2023-Mar-26,13,6.6593,16,14:04,15:04,-4.40,6.6585,13,15:30,16:31,50.29,6.6516,6.5818,,Bee was pinned through thorax for indepth identification purposes,
AMV0104,2023-Mar-26,March,"Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",12:32,50,Male,Colletes,Col. inaequalis,2023-Mar-26,22,6.6098,22,14:04,14:54,0.63,6.6094,22,15:30,16:32,49.03,6.6049,6.5550,,"Caught too late in CTmax machine, slugish after CTmax, Bee was pinned through thorax for indepth identification purposes",
AMV0105,2023-Mar-26,March,"Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",12:35,50,Male,Colletes,Col. inaequalis,2023-Mar-26,19,6.6641,19,14:04,14:56,-1.78,6.6639,19,15:30,16:26,50.49,6.6591,6.6125,,Bee was pinned through thorax for indepth identification purposes,
AMV0106,2023-Mar-26,March,"Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",12:36,50,Female,Andrena?,"And. melanochora, vernalis, or ziziae (need a second opinion)",2023-Mar-26,8,6.6171,8,14:04,14:53,-0.25,6.6170,14,15:30,16:24,47.14,6.6151,6.5954,,Bee was pinned through thorax for indepth identification purposes,
AMV0107,2023-Mar-26,March,"Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",12:36,50,Male,Colletes,Col. inaequalis,2023-Mar-26,5,6.7265,5,14:04,14:57,-0.29,6.7260,5,15:30,16:34,49.49,6.7204,6.6767,,,
AMV0108,2023-Mar-26,March,"Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",12:37,50,Male,Colletes,Col. inaequalis,2023-Mar-26,23,6.6535,24,14:04,14:56,0.06,6.6526,21,15:30,16:25,45.66,6.6469,6.6007,,,
AMV0109,2023-Mar-26,March,"Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",12:44,50,Male,Colletes,Col. inaequalis,2023-Mar-26,4,6.6685,4,14:04,14:57,-0.11,6.6680,4,15:30,16:34,50.02,6.6631,6.6102,"We were approached by an older man and chatted, took a little time hence the diffrence small chunk of time missing between captures",,
AMV0110,2023-Mar-26,March,"Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",12:44,50,Male,Colletes,Col. inaequalis,2023-Mar-26,20,6.6926,20,14:04,14:57,-2.34,6.6917,20,15:30,16:32,50.40,6.6864,6.6261,,,
AMV0111,2023-Mar-26,March,"Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",12:47,50,Male,Colletes,Col. inaequalis,2023-Mar-26,2,6.7119,3,14:04,14:55,0.76,6.7114,2,15:30,16:33,50.31,6.7043,6.6452,,,
